course_code,course_title,description,credits,prerequisites,source_url,Required Courses for MSIST,Required Courses for MSCS
COMPSCI 708 ,Scientific Computing,"Fundamental algorithms and practical issues of scientific computing, including Monte Carlo simulations, data fitting, fast Fourier transform, optimization, numerical integration & differentiation, parallel computing, selected biomedical applications.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 710 ,Artificial Intelligence,"AI programming, search techniques game playing, knowledge representation, knowledge acquisition, expert systems, selected topics from learning. Natural language understanding, vision and robotics.",3,"graduate standing, COMPSCI 351 or COMPST 751, and COMPSCI 535(P)",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 711 ,Introduction to Machine Learning,"Introduction to machine learning techniques and applications, including optimal classification, regression, support vector machines, boosting, deep learning, and clustering.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 712,Image Processing,"This course covers the materials required to process and enhance photographic images, remote sensor multispacial scanner data and others. Topics include transform techniques, recorders, discriminate function, and associated hardware.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 714,Computational Geometry,"Special data structures and algorithmic techniques for representing and minipulating geometric objects, such as points, lines and polygons. Applications to vlsi design and robotics",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 715 ,Programming for Machine Learning,"Introduction of Python for machine learning. including Python constructs, imperative, functional, and object-oriented programming using Python, Python's concurrency models, and its applications in machine learning and scientific computing",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 718 ,Advanced Computer Graphics: Modeling and Animation,"Advanced graphics topics on mesh processing, illumination models, ray-tracing, and volumetric data visualization; popular animation approaches such as keyframes, particles, fluids and rigid bodies",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 720,Computational Models of Decision Making,Theoretical foundations and practical problems of formulating and constructing computational models of decision making.,3, basic course in Probability or Statistics.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 722,Artificial Intelligence Planning Techniques,"Algorithms and representations for classical and more expressive planning, search control techniques, study and comparison of a variety of planners, applications of planning.",3,graduate standing and COMPSCI 535(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 723,Natural Language Processing,"Principles and problems of natural language processing with emphasis on recent advances and open problems. Topics: lexicons, parsing, interpretation, discourse structure, generation, and collaborative interfaces.",3,graduate standing and COMPSCI 351 or COMPST 751,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 724 ,Distributed Algorithms,"Identification of canonical problems in distributed computing, design and analysis of algorithms to solve these problems. Formal proof techniques and impossibility results.",3,"graduate standing and COMPSCI 517(P), COMPSCI 535(P), or COMPSCI 523(P)",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 725,Robot Motion Planning,"Configuration space, C-obstacles, sampling-based algorithms, potential fields, coverage, hierarchical motion planning, human control, relaxation, moving or deformable obstacles, multirobot motion planning, metrics, outdoor planning.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 729,Real-Time Operating Systems,Fundamentals of real-time operating systems with emphasis on scheduling and resource management.,3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 730,Advanced Computer Networks,"Network architecture, protocols, routing, congestion control, traffic management, ATM, optical networks, TCP/IP, LANs, WANs, QOS, wireless and mobile networks, mobility management, security, multimedia, network management.",3,COMPSCI 520(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 732 ,Type Systems for Programming Languages,"Lambda calculus, simple types, record types, subtypes, polymorphic types, type reconstruction, universal types, bounded quantification, higher-order types.",3,graduate standing and COMPSCI 431(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 736 ,Advanced Software Engineering,"The systematic and disciplined approach to developing, deploying, and maintaining software, emphasizing empirical principles, collaboration, and continuous improvement to build high-quality software efficiently.",3,"graduate standing, COMPST 751(P), and COMPSCI 431G(P)",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 737 ,Software Project Management,Concepts and techniques for management of large software projects. Life cycle models; team organization; cost estimation and budgeting; schedule and risk management; software metrics.,3,graduate standing and COMPSCI 361(P) or equivalent.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 738 ,Program Analysis for Software Engineering,"Static techniques for determining run-time properties of a program: data-flow analysis, abstract interpretation.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 743 ,Intelligent User Interfaces,"Principles, methods, and current research in intelligent user interfaces including applications, architectures, knowledge representation, and evaluation.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 744,Text Retrieval and Its Applications in Biomedicine,"Fundamental issues and current research in text retrieval, text classification and their biomedical applications; programming and use of indexing, query processing, and document retrieval methods.",3, graduate standing or consent of instructor.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 746 ,Immersive Technologies and 3D User Interfaces,"Immersive input/output devices, software, and systems. Implementation and analysis of spatial interaction techniques (selection, manipulation, navigation, system control). Virtual reality application theory and development.",3,graduate standing.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 747,Principles & Practices of User Interface Design,"Principles and practices of user interface design for desktop, web, and mobile applications: interaction principles; UI design elements; user-centered design process and practices.",3,graduate standing.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 754 ,Compiler Construction and Theory,"Fundamentals of compiler construction for modern programming languages. Syntax analysis, table organization, storage administration, semantic routines and code generation.",3,graduate standing.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 755 ,Information and Coding Theory,"Information measures, entropy, source coding, channon's theorems, channel capacity, error correcting codes, linear codes, convolutional codes, arithmetic codes, encoding and decoding algorithms",3,graduate standing.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 757,Data Base Organization and File Structure,"Introduction to automatic information organization and retrieval. Dictionary construction and operation, statistical and syntactic operations, performance evaluation of retrieval systems, design of query languages, models of database systems, database security.",3,graduate standing; COMPSCI 217(P) and COMPSCI 535(P).,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 758,Advanced Computer Architecture,"Advanced topics in computer architecture including pipeline processing, multiple and parallel processing systems, performance enhancement issues and vlsi computing structures.",3, graduate standing and COMPSCI 458(NP) or ELECENG 458(NP),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 759 ,Data Security,"Protection of data in computer and communication systems, cryptography, classical one key and public key cryptosystems, database protection, operating system security",3,graduate standing and COMPSCI 317(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 760 ,Computer Systems Performance Evaluation,"Performance measurement and tools, workload characterization, markov models, queueing theory, simulation, benchmarks, data analysis, parallel systems performance analysis.",3,"graduate standing, COMPSC 458(P) or ELECENG 458(P)",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 761 ,Software Testing and Verification,"Software testing techniques: test case generation, test oracles, regression testing, structural testing, test coverage, mutation testing, and model-based testing. Testing for object-oriented and distributed software. Security testing.",3,graduate standing and COMPSCI 361(P) or equivalent,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 762 ,Fault-Tolerant Computing,"Faults in digital circuits, fault detection, fault location, system reconfiguration or repair, system recovery, design for testibility, self-checking circuits, fault-tolerant interconnection networks, systems level fault-diagnosis, fault-tolerant software.",3,graduate standing and ELECENG 354(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 780,Multimedia Systems,"Survey of principles and applications of multimedia computer systems. Media fundamentals. Networking, architecture, software engineering, and user interface issues.",3,COMPSCI 537(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 805,Randomized Algorithms; Pseudorandom Numbers,"Probabilistic algorithms in number theory, combinatorics, graph theory, and computational geometry. Sorting and searching. Applications to parallel computation. Interactive proofs. Derandomization of algorithms.",3, COMPSCI 704(P) and COMPSCI 523(R),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 810 ,Knowledge Representation,"Study of the design and properties of formalisms for representing knowledge in computational systems. Topics include: first-order logic, nonmonotonic logic, uncertainty, time, space, beliefs, plans.",3,graduate standing and COMPSCI 710(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 811 ,Advanced Machine Learning,"Advanced topics and applications in machine learning, including deep learning, recurrent neural networks, EM algorithm and clustering, reinforcement learning, Markov models and MCMC, and variational inference.",3, ELECENG 711(P) or ELECENG 420(P) and COMPSCI 411(P); or consent of instructor.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 854,Advanced Compiler Techniques,"Details of compiler construction: syntax theory, attribute grammars, implementing advanced language features, optimization",3,graduate standing and COMPSCI 654(P) or COMPSCI 754(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 859 ,Advanced Cryptography and Security Protocols,"Elliptic curve cryptography, AES, cryptanalysis, secret sharing, zero knowledge proofs, provable security",3,graduate standing; COMPSCI 469(P) and COMPSCI 535(P); or COMPSCI 759(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 888,Candidate for Degree,Available for graduate students who must meet minimum credit load requirement.,3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 990 ,Masters Thesis,Master Thesis,3, graduate standing; consent of instructor,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 995 ,Master's Capstone Project,Independent project supervised by student's adviser,3,"graduate standing, consent of instructor and graduate program committee",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 998,Doctoral Thesis,none,1 to 12,"graduate standing, consent of instructor and graduate program committee.",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 999,Advanced Independent Study,none,3,"graduate standing, consent of instructor and graduate program committee",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPST 701,Computing Fundamentals for IT Professionals,"A survey of computer science fundamentals. Topics include data storage and manipulation, operating systems and networks, algorithms and data structures, programming languages, artificial intelligence, parallel computing, and computability.",3,graduate standing.,https://catalog.uwm.edu/courses/compst/,YES,NO
COMPST 702,Introductory Programming Using Python,Programming in Python. Basic control structures including recursion. Basic and library data types. Problem solving with objects. Writing classes. Basic software development skills.,3,graduate standing.,https://catalog.uwm.edu/courses/compst/,NO,NO
COMPST 703,Software Development Life Cycle,"Introduction to core topics of the software development life cycle including requirements analysis, object-oriented design, testing, maintenance and project management. Overview of ethical and social issues in computing.",3,COMPSCI 701(P) or equivalent.,https://catalog.uwm.edu/courses/compst/,YES,NO
COMPST 750,Problem Solving with Object-Oriented Programming,"Problem solving with object-oriented programming language. Topics include arrays, strings, classes, standard data structures, graphical user interfaces, exceptions, files, debugging, and configuration management.",3,"Previous programming experience such as COMPSCI 702(P), COMPSCI 240(P), or COMPSCI 250(P).",https://catalog.uwm.edu/courses/compst/,NO,NO
COMPST 751,Data Structures and Algorithms,"Programming in a structured, high-level, object-oriented language. Implementation of data structures and algorithms and their application.",3,COMPST 750(P); COMPSCI 251(R).,https://catalog.uwm.edu/courses/compst/,NO,NO
COMPST 789,Software Internship,Supervised work experience in software with a minimum of 150 hours.,1,Repeatable to 3 cr max. Satisfactory/Unsatisfactory only. Prior consent of graduate program director required.,https://catalog.uwm.edu/courses/compst/,NO,NO
COMPST 790,Advanced Topics in Computer Studies,Discussion of special advanced topics in the study of computing. Retakable with change in topic to 9 cr max.,1 to 3,grad st; add'l prereqs depending on topic.,https://catalog.uwm.edu/courses/compst/,NO,NO
BUS ADM 713,Business Forecasting Methods,"Overview and use of modern forecasting methods in support of managerial strategic planning, financial, and operational analysis of a dynamic global business environment.",3,grad st; BusMgmt 709(P) or Bus Adm 754(P).,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUSMGMT 744,R Programming for Business Analytics,Focus on basic data manipulation and statistical modeling in R. The objective is to develop R programm,3,grad st; BusMgmt 709(P).,https://catalog.uwm.edu/course-search/,NO,NO
HI 741,Essential Programming for Health Informatics,Study of programming topics and skills necessary to perform commonly encountered computational tasks in the field of biomedical and health informatics.,3,graduate standing or consent of instructor.,https://catalog.uwm.edu/course-search/,NO,NO
PH 718,Data Management and Visualization in R,This course covers basic concepts and techniques for statistical programming with the R computing language.,3,PH711; cons instr.,https://catalog.uwm.edu/course-search/,NO,NO
BUS ADM 743,"Information Privacy, Security & Continuity",Privacy threats and safeguards; identifying information system vulnerabilities; planning and managing security measures. Ethical and legal perspectives concerning information and data.,3,grad st,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 817,Connected Systems for Business,"Overview of connected systems, including cloud computing and IoT. Design and develop technology infrastructure for business applications. Infrastructure management strategies, security, reliability, and performance considerations.",3,graduate standing.,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 741,Web Mining and Analytics,"Measurement methods and analysis of web-based data for strategic decisions; methods and technologies in web mining, visualization, predictive analytics and text mining for knowledge discovery and business analysis.",3,graduate standing.,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 744,Information Technology Strategy and Management,"Various frameworks to evaluate strategic value of IT, aligning IT and competitive business strategies, IT governance models, managing IT operations and outsourcing ethically.",3,grad st,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 746,Topics in Information Technology Management,Topics are limited to the areas in management information systems and business application. Specific topics and any additional prerequisites will be announced in the Timetable each time the course is offered.,3,grad st.,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 749,Data and Information Management,"Managing structured, semi-structured and unstructured data, data integrity management, data representation, data integration, governance and administration, data quality and reporting information.",3,grad st,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 754,Statistical Analysis,"Business applications of probability theory and statistical methods to managerial problems of prediction, inference and decision making under uncertainty.",3,grad st; cons instr,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 763,Marketing Analytics,Theoretical background provided to develop hands-on experience analyzing marketing data and using statistical models for marketing decisions.,3,grad st; BusMgmt 709(C) or cons instr.,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 769,Database Marketing,"Introduction to using and analyzing data on current and prospective customers to increase sales, customer acquisition, and customer retention.",3,grad st; BusMgmt 709(C) or cons instr,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 816,Business Intelligence Technologies & Solutions,"Develop business intelligence (BI) solutions using data warehousing, OLAP, and data mining technologies. Students will use SAP Analytics and other tools for implementing BI solutions.",3,grad st,https://catalog.uwm.edu/courses/bus_adm/,NO,NO